Disease,Description
Hypoglycemia (Mild),ହାଇପୋଗ୍ଲାଇସେମିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypoglycemia (Severe),ହାଇପୋଗ୍ଲାଇସେମିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypoglycemia (Stage 1),ହାଇପୋଗ୍ଲାଇସେମିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypoglycemia,ହାଇପୋଗ୍ଲାଇସେମିଆ ହେଉଛି ଏକ ଅବସ୍ଥା ଯେଉଁଥିରେ ଆପଣଙ୍କ ରକ୍ତରେ ଶର୍କରା (ଗ୍ଲୁକୋଜ) ସ୍ତର ସାଧାରଣ ଠାରୁ କମ୍ ଅଟେ | ଗ୍ଲୁକୋଜ ହେଉଛି ଆପଣଙ୍କ ଶରୀରର ମୁଖ୍ୟ ଶକ୍ତି ଉତ୍ସ | ହାଇପୋଗ୍ଲାଇସେମିଆ ପ୍ରାୟତ diabet ମଧୁମେହ ଚିକିତ୍ସା ସହିତ ଜଡିତ | କିନ୍ତୁ ଅନ୍ୟ drugs ଷଧ ଏବଂ ବିଭିନ୍ନ ଅବସ୍ଥା - ଅନେକ ବିରଳ - ମଧୁମେହ ନଥିବା ଲୋକଙ୍କଠାରେ କମ୍ ରକ୍ତରେ ଶର୍କରା ସୃଷ୍ଟି କରିପାରେ |
Hypothyroidism (Acute),ହାଇପୋଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypothyroidism (Chronic),ହାଇପୋଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypothyroidism (Mild),ହାଇପୋଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypothyroidism (Severe),ହାଇପୋଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypothyroidism (Stage 1),ହାଇପୋଥାଇରଏଡିଜମର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Hypothyroidism,"ହାଇପୋଥାଇରଏଡିଜିମ୍, ଯାହାକୁ ଅଣ୍ଡରକ୍ଟିଭ୍ ଥାଇରଏଡ୍ କିମ୍ବା ଲୋ ଥାଇରଏଡ୍ ମଧ୍ୟ କୁହାଯାଏ, ଏହା ହେଉଛି ଏଣ୍ଡୋକ୍ରାଇନ୍ ସିଷ୍ଟମର ଏକ ବ୍ୟାଧି ଯେଉଁଥିରେ ଥାଇରଏଡ୍ ଗ୍ରନ୍ଥି ଯଥେଷ୍ଟ ଥାଇରଏଡ୍ ହରମୋନ୍ ଉତ୍ପାଦନ କରେ ନାହିଁ |"
Impetigo (Acute),ଇମ୍ପେଟିଗୋର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Impetigo (Chronic),ଇମ୍ପେଟିଗୋର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Impetigo (Mild),ଇମ୍ପେଟିଗୋର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Impetigo (Severe),ଇମ୍ପେଟିଗୋର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Impetigo (Stage 1),ଇମ୍ପେଟିଗୋର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Impetigo,"ଇମ୍ପେଟିଗୋ (im-puh-TIE-go) ଏକ ସାଧାରଣ ଏବଂ ଅତ୍ୟଧିକ ସଂକ୍ରାମକ ଚର୍ମ ସଂକ୍ରମଣ ଯାହା ମୁଖ୍ୟତ inf ଶିଶୁ ଏବଂ ଶିଶୁମାନଙ୍କୁ ପ୍ରଭାବିତ କରିଥାଏ | ଇମ୍ପେଟିଗୋ ସାଧାରଣତ the ମୁହଁରେ ଲାଲ ଘା ଭଳି ଦେଖାଯାଏ, ବିଶେଷକରି ଶିଶୁର ନାକ ଏବଂ ପାଟି, ଏବଂ ହାତ ଏବଂ ପାଦରେ | ଘା ’ଫାଟିଯାଏ ଏବଂ ମହୁ ରଙ୍ଗର ପାକସ୍ଥଳୀ ବିକଶିତ ହୁଏ |"
Influenza (Acute),ଇନ୍‌ଫ୍ଲୁଏଞ୍ଜା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Influenza (Chronic),ଇନ୍‌ଫ୍ଲୁଏଞ୍ଜା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Influenza (Mild),ଇନ୍‌ଫ୍ଲୁଏଞ୍ଜା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Influenza (Severe),ଇନ୍‌ଫ୍ଲୁଏଞ୍ଜା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Influenza (Stage 1),ଇନ୍‌ଫ୍ଲୁଏଞ୍ଜା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Influenza,"ଜ୍ୱର, ଥଣ୍ଡା, ମାଂସପେଶୀ_ ଯନ୍ତ୍ରଣା ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Insomnia (Acute),ଅନିଦ୍ରା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Insomnia (Chronic),ଅନିଦ୍ରା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Insomnia (Mild),ଅନିଦ୍ରା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Insomnia (Severe),ଅନିଦ୍ରା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Insomnia (Stage 1),ଅନିଦ୍ରା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Insomnia,"ଅସୁବିଧା_ ପଡ଼ିବା_ ଶୋଇବା, ଜାଗ୍ରତ_ଅପ୍_ ସମୟ_ ରାତି, ଜାଗ୍ରତ_ଅପ୍"
Iron Deficiency Anemia,ତାମିଲନାଡୁ / ଟ୍ରପିକାଲ୍ ଅଞ୍ଚଳରେ ସାଧାରଣ ଅବସ୍ଥା | ଲ Iron ହ ଅଭାବ ରକ୍ତହୀନତା ଠିକ୍ ସମୟରେ ଯତ୍ନ ଆବଶ୍ୟକ କରେ |
Jaundice (Acute),ଜଣ୍ଡିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Jaundice (Chronic),ଜଣ୍ଡିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Jaundice (Mild),ଜଣ୍ଡିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Jaundice (Severe),ଜଣ୍ଡିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Jaundice (Stage 1),ଜଣ୍ଡିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Jaundice,ଚର୍ମ ଏବଂ ସ୍କ୍ଲେରାର ହଳଦିଆ ଦାଗ (ଆଖିର ଧଳା) ବାଇଲ ପିଗମେଣ୍ଟ ବିଲିରୁବିନର ଅସ୍ୱାଭାବିକ ଉଚ୍ଚ ରକ୍ତ ସ୍ତର ଦ୍ୱାରା | ହଳଦିଆ ଅନ୍ୟ ଟିସୁ ଏବଂ ଶରୀରର ତରଳ ପଦାର୍ଥ ପର୍ଯ୍ୟନ୍ତ ବିସ୍ତାର ହୁଏ | ଜଣ୍ଡିସକୁ ଏକଦା “ମୋର୍ବସ୍ ରେଜିୟସ୍” (ରେଗାଲ୍ ରୋଗ) କୁହାଯାଉଥିଲା ଯେ କେବଳ ଜଣେ ରାଜାଙ୍କ ସ୍ପର୍ଶ ଦ୍ୱାରା ଏହା ଭଲ ହୋଇପାରିବ।
Kidney Stones (Acute),କିଡନୀ ଷ୍ଟୋନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Kidney Stones (Chronic),କିଡନୀ ଷ୍ଟୋନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Kidney Stones (Mild),କିଡନୀ ଷ୍ଟୋନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Kidney Stones (Severe),କିଡନୀ ଷ୍ଟୋନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Kidney Stones (Stage 1),କିଡନୀ ଷ୍ଟୋନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Kidney Stones,"ଏକ ଡାକ୍ତରୀ ଅବସ୍ଥା ଗୁରୁତର_ପେନ୍_ ସାଇଡ୍_ ଏବଂ_ବ୍ୟାକ୍, ଯନ୍ତ୍ରଣା_ନ୍ୟୁରିନେସନ୍, ଗୋଲାପୀ_ରେଡ୍_ବ୍ରୋନ୍_ୟୁରିନ୍ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ |"
Leptospirosis,ତାମିଲନାଡୁ / ଟ୍ରପିକାଲ୍ ଅଞ୍ଚଳରେ ସାଧାରଣ ଅବସ୍ଥା | ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ଠିକ୍ ସମୟରେ ଯତ୍ନ ନେବା ଆବଶ୍ୟକ କରେ |
Liver Cirrhosis (Acute),ଯକୃତ ସିରୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Liver Cirrhosis (Chronic),ଯକୃତ ସିରୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Liver Cirrhosis (Mild),ଯକୃତ ସିରୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Liver Cirrhosis (Severe),ଯକୃତ ସିରୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Liver Cirrhosis (Stage 1),ଯକୃତ ସିରୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Liver Cirrhosis,"ଥକ୍କା, ସହଜରେ_ ରକ୍ତସ୍ରାବ_ବ୍ରାଇଜିଂ, କ୍ଷତି_ଫ୍ୟାପାଇଟ୍ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Lyme Disease (Acute),ଲାଇମ୍ ରୋଗର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Lyme Disease (Chronic),ଲାଇମ୍ ରୋଗର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Lyme Disease (Mild),ଲାଇମ୍ ରୋଗର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Lyme Disease (Severe),ଲାଇମ୍ ରୋଗର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Lyme Disease (Stage 1),ଲାଇମ୍ ରୋଗର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Lyme Disease,ଲାଇମ୍ ରୋଗର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Madras Eye (Conjunctivitis),ତାମିଲନାଡୁ / ଟ୍ରପିକାଲ୍ ଅଞ୍ଚଳରେ ସାଧାରଣ ଅବସ୍ଥା | ମାଡ୍ରାସ ଆଖି (କନଜୁଣ୍ଟିଭାଇଟିସ୍) ଠିକ୍ ସମୟରେ ଯତ୍ନ ନେବା ଆବଶ୍ୟକ କରେ |
Malaria (Acute),ମ୍ୟାଲେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Malaria (Chronic),ମ୍ୟାଲେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Malaria (Mild),ମ୍ୟାଲେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Malaria (Severe),ମ୍ୟାଲେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Malaria (Stage 1),ମ୍ୟାଲେରିଆର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Malaria,ପ୍ଲାଜାମୋଡିୟମ୍ ପରିବାରର ପ୍ରୋଟୋଜୋନ୍ ପରଜୀବୀ ଦ୍ caused ାରା ଏକ ସଂକ୍ରାମକ ରୋଗ ଯାହା ଆନାଫେଲସ୍ ମଶା କାମୁଡ଼ିବା ଦ୍ୱାରା କିମ୍ବା ଦୂଷିତ ଛୁଞ୍ଚି କିମ୍ବା ଟ୍ରାନ୍ସଫ୍ୟୁଜନ୍ ଦ୍ mitted ାରା ସଂକ୍ରମିତ ହୋଇପାରେ। ଫାଲସିପାରମ୍ ମ୍ୟାଲେରିଆ ହେଉଛି ସବୁଠାରୁ ମାରାତ୍ମକ ପ୍ରକାର |
Measles (Acute),ମିଳିମିଳା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Measles (Chronic),ମିଳିମିଳା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Measles (Mild),ମିଳିମିଳା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Measles (Severe),ମିଳିମିଳା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Measles (Stage 1),ମିଳିମିଳା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Measles,"ଜ୍ୱର, ଶୁଖିଲା କାଶ, ରନି_ନୋଜ୍ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Melanoma (Acute),ମେଲାନୋମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Melanoma (Chronic),ମେଲାନୋମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Melanoma (Mild),ମେଲାନୋମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Melanoma (Severe),ମେଲାନୋମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Melanoma (Stage 1),ମେଲାନୋମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Melanoma,"ଅସ୍ୱାଭାବିକ_ମୋଲ୍ସ, ପରିବର୍ତ୍ତନ_ଇନ୍_ ବିଦ୍ୟମାନ_ମୋଲ, ଗା dark_ ଲେସନ୍ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Migraine (Acute),ମାଇଗ୍ରେନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Migraine (Chronic),ମାଇଗ୍ରେନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Migraine (Mild),ମାଇଗ୍ରେନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Migraine (Severe),ମାଇଗ୍ରେନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Migraine (Stage 1),ମାଇଗ୍ରେନର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Migraine,"ମାଇଗ୍ରେନ୍ ସାଧାରଣତ the ମୁଣ୍ଡର ଗୋଟିଏ ପାର୍ଶ୍ୱରେ ପ୍ରବଳ ଥ୍ରୋବିଙ୍ଗ୍ ଯନ୍ତ୍ରଣା କିମ୍ବା ପଲ୍ସିଂ ସେନ୍ସେସ୍ ସୃଷ୍ଟି କରିପାରେ | ଏହା ପ୍ରାୟତ n ବାନ୍ତି, ବାନ୍ତି, ଏବଂ ଆଲୋକ ଏବଂ ଶବ୍ଦ ପ୍ରତି ଅତ୍ୟଧିକ ସମ୍ବେଦନଶୀଳତା ସହିତ ଆସିଥାଏ | ମାଇଗ୍ରେନ୍ ଆକ୍ରମଣ ଘଣ୍ଟା ରୁ ଦିନ ପର୍ଯ୍ୟନ୍ତ ରହିପାରେ, ଏବଂ ଯନ୍ତ୍ରଣା ଏତେ ଭୟଙ୍କର ହୋଇପାରେ ଯେ ଏହା ଆପଣଙ୍କର ଦ daily ନନ୍ଦିନ କାର୍ଯ୍ୟରେ ବାଧା ସୃଷ୍ଟି କରିଥାଏ |"
Mumps (Acute),ମମ୍ପସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Mumps (Chronic),ମମ୍ପସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Mumps (Mild),ମମ୍ପସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Mumps (Severe),ମମ୍ପସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Mumps (Stage 1),ମମ୍ପସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Mumps,"ଫୁଲିବା_ ସାଲିଭାରୀ_ ଗ୍ରନ୍ଥି, ଯନ୍ତ୍ରଣା_ ଚେକିଂ, ଜ୍ୱର ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Osteoarthristis (Acute),Osteoarthristis ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Osteoarthristis (Chronic),Osteoarthristis ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Osteoarthristis (Mild),Osteoarthristis ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Osteoarthristis (Severe),Osteoarthristis ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Osteoarthristis (Stage 1),Osteoarthristis ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Osteoarthristis,"ଅଷ୍ଟିଓଆର୍ଥ୍ରାଇଟିସ୍ ହେଉଛି ଆର୍ଥ୍ରାଇଟିସର ସବୁଠାରୁ ସାଧାରଣ ରୂପ, ଯାହା ସାରା ବିଶ୍ୱରେ ଲକ୍ଷ ଲକ୍ଷ ଲୋକଙ୍କୁ ପ୍ରଭାବିତ କରିଥାଏ | ଏହା ଘଟେ ଯେତେବେଳେ ପ୍ରତିରକ୍ଷା କାର୍ଟିଲେଜ୍ ଯାହା ତୁମର ହାଡର ଶେଷକୁ କୁଶ କରେ ସମୟ ସହିତ ଦୁର୍ବଳ ହୋଇଯାଏ |"
Osteoporosis (Acute),ଅଷ୍ଟିଓପୋରୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Osteoporosis (Chronic),ଅଷ୍ଟିଓପୋରୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Osteoporosis (Mild),ଅଷ୍ଟିଓପୋରୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
