Disease,Description
Urinary Tract Infection (UTI) (Severe),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary Tract Infection (UTI) (Stage 1),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary Tract Infection (UTI),"ஒரு மருத்துவ நிலை, சிறுநீர் கழிக்கத்_விருப்பம், எரியும்_உணர்வு, மேகமூட்டமான_சிறுநீர்."
Urinary tract infection (Acute),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary tract infection (Chronic),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary tract infection (Mild),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary tract infection (Severe),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary tract infection (Stage 1),சிறுநீர் பாதை நோய்த்தொற்றின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Urinary tract infection,"சிறுநீர் பாதை நோய்த்தொற்று: சிறுநீரகம், சிறுநீர்க்குழாய், சிறுநீர்ப்பை அல்லது சிறுநீர்க்குழாய் ஆகியவற்றின் தொற்று. சுருக்கமான UTI. UTI உள்ள அனைவருக்கும் அறிகுறிகள் இல்லை, ஆனால் பொதுவான அறிகுறிகளில் சிறுநீர் கழிக்க அடிக்கடி தூண்டுதல் மற்றும் சிறுநீர் கழிக்கும் போது வலி அல்லது எரியும் ஆகியவை அடங்கும்."
Varicose veins (Acute),வீங்கி பருத்து வலிக்கிற நரம்புகளின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Varicose veins (Chronic),வீங்கி பருத்து வலிக்கிற நரம்புகளின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Varicose veins (Mild),வீங்கி பருத்து வலிக்கிற நரம்புகளின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Varicose veins (Severe),வீங்கி பருத்து வலிக்கிற நரம்புகளின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Varicose veins (Stage 1),வீங்கி பருத்து வலிக்கிற நரம்புகளின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Varicose veins,"ஒரு நரம்பு விரிவடைந்து, முறுக்கப்பட்ட, பெரும்பாலும் தோலின் வழியாகத் தெளிவாகத் தெரியும், நீல நிற இரத்த நாளமாகத் தோன்றும். வீங்கி பருத்து வலிக்கிற நரம்புகள் வயதானவர்களில், குறிப்பாக பெண்களில் மிகவும் பொதுவானவை மற்றும் குறிப்பாக கால்களில் ஏற்படும்."
Viral Fever (Acute),வைரஸ் காய்ச்சலின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Viral Fever (Chronic),வைரஸ் காய்ச்சலின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Viral Fever (Mild),வைரஸ் காய்ச்சலின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Viral Fever (Severe),வைரஸ் காய்ச்சலின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Viral Fever (Stage 1),வைரஸ் காய்ச்சலின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Viral Fever,வைரஸ் காய்ச்சலின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Whooping Cough (Acute),வூப்பிங் இருமல் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Whooping Cough (Chronic),வூப்பிங் இருமல் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Whooping Cough (Mild),வூப்பிங் இருமல் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Whooping Cough (Severe),வூப்பிங் இருமல் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Whooping Cough (Stage 1),வூப்பிங் இருமல் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Whooping Cough,"மூக்கு ஒழுகுதல், மூக்கடைப்பு, சிவந்த நீர்_கண்கள் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Zika Virus (Acute),ஜிகா வைரஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Zika Virus (Chronic),ஜிகா வைரஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Zika Virus (Mild),ஜிகா வைரஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Zika Virus (Severe),ஜிகா வைரஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Zika Virus (Stage 1),ஜிகா வைரஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Zika Virus,"லேசான_காய்ச்சல், சொறி, மூட்டுவலி ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
hepatitis A (Acute),ஹெபடைடிஸ் ஏ ஒரு குறிப்பிட்ட மாறுபாடு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
hepatitis A (Chronic),ஹெபடைடிஸ் ஏ ஒரு குறிப்பிட்ட மாறுபாடு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
hepatitis A (Mild),ஹெபடைடிஸ் ஏ ஒரு குறிப்பிட்ட மாறுபாடு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
hepatitis A (Severe),ஹெபடைடிஸ் ஏ ஒரு குறிப்பிட்ட மாறுபாடு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
hepatitis A (Stage 1),ஹெபடைடிஸ் ஏ ஒரு குறிப்பிட்ட மாறுபாடு மருத்துவ கவனிப்பு தேவைப்படுகிறது.
hepatitis A,"ஹெபடைடிஸ் ஏ என்பது ஹெபடைடிஸ் ஏ வைரஸால் ஏற்படும் கல்லீரல் தொற்று ஆகும். இந்த வைரஸ் பல வகையான ஹெபடைடிஸ் வைரஸ்களில் ஒன்றாகும், இது வீக்கத்தை ஏற்படுத்தும் மற்றும் உங்கள் கல்லீரலின் செயல்பாட்டை பாதிக்கும்."
